event_id,mode,sm,warp,regext_time_ns,regext_pc,regext_op,prev_time_ns,prev_pc,prev_op,next_time_ns,next_pc,next_op
318,other,1,7,705040885,0x800001b4,REGEXT,705040875,0x8000018c,VADD,705040955,0x80000190,VMUL
326,other,1,4,705041025,0x800001b4,REGEXT,705041015,0x8000018c,VADD,705060345,0x800002b0,VLW12
323,other,1,5,705040995,0x800001b4,REGEXT,705040985,0x8000018c,VADD,705057995,0x800002b8,VSW12
327,other,1,0,705041045,0x800001b4,REGEXT,705041035,0x8000018c,VADD,705061125,0x800002b0,VLW12
324,other,1,6,705041005,0x800001b4,REGEXT,705040995,0x8000018c,VADD,705060695,0x800002b8,VSW12
329,mode2,1,4,732009855,0x800001b4,REGEXT,732009855,0x80000188,JAL,732009865,0x80000188,JAL
328,mode1,1,5,732009845,0x800001b4,REGEXT,732009795,0x80000184,BGE,732009885,0x80000188,JAL
332,mode1,1,1,732009885,0x800001b4,REGEXT,732009835,0x80000184,BGE,732009905,0x80000188,JAL
330,mode2,1,7,732009865,0x800001b4,REGEXT,732009865,0x80000188,JAL,732009875,0x80000188,JAL
334,other,1,3,732009895,0x800001b4,REGEXT,732009885,0x8000018c,VADD,732009965,0x80000190,VMUL
333,other,1,2,732009885,0x800001b4,REGEXT,732009875,0x8000018c,VADD,732009955,0x80000190,VMUL
331,other,1,6,732009865,0x800001b4,REGEXT,732009855,0x8000018c,VADD,732009935,0x80000190,VMUL
337,other,1,0,732009995,0x800001b4,REGEXT,732009985,0x8000018c,VADD,732010075,0x80000190,VMUL
338,other,1,5,732010005,0x800001b4,REGEXT,732009995,0x8000018c,VADD,732029715,0x800002b0,VLW12
335,other,1,4,732009975,0x800001b4,REGEXT,732009965,0x8000018c,VADD,732027165,0x800002b8,VSW12
339,other,1,1,732010025,0x800001b4,REGEXT,732010015,0x8000018c,VADD,732030195,0x800002b0,VLW12
336,other,1,7,732009985,0x800001b4,REGEXT,732009975,0x8000018c,VADD,732029465,0x800002b8,VSW12
341,mode2,1,5,758696685,0x800001b4,REGEXT,758696685,0x80000188,JAL,758696695,0x80000188,JAL
340,mode1,1,6,758696675,0x800001b4,REGEXT,758696625,0x80000184,BGE,758696715,0x80000188,JAL
344,mode1,1,2,758696715,0x800001b4,REGEXT,758696665,0x80000184,BGE,758696735,0x80000188,JAL
342,mode2,1,0,758696695,0x800001b4,REGEXT,758696695,0x80000188,JAL,758696705,0x80000188,JAL
349,other,1,1,758696825,0x800001b4,REGEXT,758696815,0x8000018c,VADD,758696905,0x80000190,VMUL
345,other,1,3,758696715,0x800001b4,REGEXT,758696705,0x8000018c,VADD,758696785,0x80000190,VMUL
346,other,1,4,758696725,0x800001b4,REGEXT,758696715,0x8000018c,VADD,758696795,0x80000190,VMUL
343,other,1,7,758696695,0x800001b4,REGEXT,758696685,0x8000018c,VADD,758696765,0x80000190,VMUL
351,other,1,2,758696855,0x800001b4,REGEXT,758696845,0x8000018c,VADD,758719155,0x800002b0,VLW12
347,other,1,5,758696805,0x800001b4,REGEXT,758696795,0x8000018c,VADD,758714015,0x800002b8,VSW12
350,other,1,6,758696835,0x800001b4,REGEXT,758696825,0x8000018c,VADD,758718825,0x800002b0,VLW12
348,other,1,0,758696815,0x800001b4,REGEXT,758696805,0x8000018c,VADD,758719835,0x800002b8,VSW12
353,mode2,1,3,785665695,0x800001b4,REGEXT,785665695,0x80000188,JAL,785665705,0x80000188,JAL
352,mode1,1,6,785665685,0x800001b4,REGEXT,785665635,0x80000184,BGE,785665725,0x80000188,JAL
357,mode1,1,2,785665725,0x800001b4,REGEXT,785665675,0x80000184,BGE,785665745,0x80000188,JAL
355,mode2,1,0,785665705,0x800001b4,REGEXT,785665705,0x80000188,JAL,785665715,0x80000188,JAL
