pc,count,share,mnemonic,mnemonic_set,enc_set,class,sample_line
0x8000012c,16,0.00000018,LW,LW,0xfec12603,LSU,"SM 1 warp 3 0x8000012c                LW_0xfec12603 mask=FFFFFFFF MEMADDR 70000808 @49415ns,1 [trace exec_lsu.cpp:189]"
0x80000130,16,0.00000018,LW,LW,0xff012583,LSU,"SM 1 warp 3 0x80000130                LW_0xff012583 mask=FFFFFFFF MEMADDR 7000080c @49435ns,1 [trace exec_lsu.cpp:189]"
0x80000134,16,0.00000018,LW,LW,0xff412503,LSU,"SM 1 warp 3 0x80000134                LW_0xff412503 mask=FFFFFFFF MEMADDR 70000810 @49495ns,1 [trace exec_lsu.cpp:189]"
0x80000138,16,0.00000018,LW,LW,0xff812483,LSU,"SM 1 warp 3 0x80000138                LW_0xff812483 mask=FFFFFFFF MEMADDR 70000814 @49535ns,1 [trace exec_lsu.cpp:189]"
0x8000013c,16,0.00000018,LW,LW,0xffc12383,LSU,"SM 1 warp 3 0x8000013c                LW_0xffc12383 mask=FFFFFFFF MEMADDR 70000818 @49585ns,1 [trace exec_lsu.cpp:189]"
0x80000140,8,0.00000009,BGE,BGE,0x06a05063,BR,"SM 1 warp 3 0x80000140               BGE_0x06a05063 mask=FFFFFFFF, JUMP=false @49605ns,1 [trace exec_salu.cpp:339]"
0x80000144,16,0.00000018,JAL,JAL,0x0040006f,CTRL,"SM 1 warp 3 0x80000144               JAL_0x0040006f JUMP=true, jumpTO 0x80000148 @49665ns,1 [trace exec_salu.cpp:108]"
0x80000148,8,0.00000009,VSLL_VI,VSLL_VI,0x960230d7,VALU,"SM 1 warp 3 0x80000148           VSLL_VI_0x960230d7 mask=FFFFFFFF WB v[001]={00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000040 00000050 00000050 00000050 00000050 00000050 00000050 00000050 00000050 00000050 00000050 00000050 00000050 00000050 00000050 00000050 00000050}; s1=4 s2=0 s3=1 @49785ns,1 [trace regfile.cpp:109]"
0x8000014c,8,0.00000009,VADD_VV,VADD_VV,0x021880d7,VALU,"SM 1 warp 3 0x8000014c           VADD_VV_0x021880d7 mask=FFFFFFFF WB v[001]={00000040 00000041 00000042 00000043 00000044 00000045 00000046 00000047 00000048 00000049 0000004a 0000004b 0000004c 0000004d 0000004e 0000004f 00000050 00000051 00000052 00000053 00000054 00000055 00000056 00000057 00000058 00000059 0000005a 0000005b 0000005c 0000005d 0000005e 0000005f}; s1=17 s2=1 s3=1 @49875ns,1 [trace regfile.cpp:109]"
0x80000150,8,0.00000009,VSLL_VI,VSLL_VI,0x96113157,VALU,"SM 1 warp 3 0x80000150           VSLL_VI_0x96113157 mask=FFFFFFFF WB v[002]={00000100 00000104 00000108 0000010c 00000110 00000114 00000118 0000011c 00000120 00000124 00000128 0000012c 00000130 00000134 00000138 0000013c 00000140 00000144 00000148 0000014c 00000150 00000154 00000158 0000015c 00000160 00000164 00000168 0000016c 00000170 00000174 00000178 0000017c}; s1=2 s2=1 s3=2 @49955ns,1 [trace regfile.cpp:109]"
